steer,prompt_id,anger,disgust,fear,guilt,joy,sadness,shame
baseline,40,0.0,0.0,0.0,0.0,60.0,20.0,0.0
baseline,41,0.0,0.0,10.0,0.0,20.0,40.0,0.0
baseline,42,5.0,0.0,5.0,0.0,10.0,30.0,10.0
baseline,43,5.0,5.0,65.0,30.0,5.0,85.0,30.0
baseline,44,15.0,0.0,10.0,10.0,0.0,60.0,20.0
baseline,45,30.0,10.0,20.0,10.0,5.0,30.0,10.0
baseline,46,5.0,0.0,5.0,10.0,0.0,30.0,20.0
baseline,47,5.0,0.0,20.0,20.0,0.0,40.0,30.0
baseline,48,5.0,0.0,40.0,20.0,5.0,20.0,65.0
baseline,49,5.0,0.0,10.0,85.0,0.0,30.0,75.0
baseline,50,0.0,0.0,10.0,10.0,10.0,10.0,40.0
baseline,51,10.0,30.0,20.0,0.0,0.0,10.0,20.0
baseline,52,10.0,0.0,20.0,20.0,5.0,65.0,40.0
baseline,53,10.0,0.0,5.0,20.0,5.0,20.0,20.0
baseline,54,0.0,5.0,5.0,5.0,40.0,5.0,30.0
baseline,55,0.0,5.0,40.0,75.0,0.0,20.0,85.0
anger,0,75.0,10.0,0.0,75.0,0.0,20.0,70.0
anger,1,10.0,0.0,30.0,10.0,20.0,10.0,10.0
anger,2,85.0,40.0,75.0,10.0,0.0,85.0,70.0
anger,3,40.0,20.0,10.0,10.0,0.0,65.0,40.0
anger,4,65.0,10.0,40.0,10.0,0.0,65.0,70.0
anger,5,0.0,0.0,5.0,0.0,85.0,5.0,10.0
anger,6,75.0,10.0,10.0,85.0,0.0,75.0,75.0
anger,7,75.0,40.0,5.0,5.0,0.0,20.0,10.0
anger,8,65.0,75.0,85.0,40.0,0.0,85.0,75.0
anger,9,75.0,40.0,5.0,5.0,0.0,20.0,10.0
anger,10,75.0,40.0,85.0,0.0,0.0,85.0,10.0
anger,11,85.0,95.0,85.0,0.0,0.0,85.0,85.0
anger,12,85.0,20.0,75.0,0.0,0.0,40.0,10.0
anger,13,30.0,70.0,60.0,10.0,0.0,40.0,10.0
anger,14,75.0,65.0,10.0,0.0,0.0,40.0,5.0
anger,15,20.0,75.0,85.0,0.0,0.0,10.0,10.0
anger,16,70.0,30.0,85.0,85.0,0.0,85.0,85.0
anger,17,20.0,70.0,95.0,0.0,0.0,40.0,10.0
anger,18,5.0,10.0,90.0,10.0,0.0,85.0,10.0
anger,19,0.0,5.0,75.0,0.0,0.0,85.0,20.0
anger,20,20.0,40.0,30.0,90.0,0.0,75.0,85.0
anger,21,40.0,10.0,85.0,10.0,0.0,85.0,70.0
anger,22,75.0,10.0,85.0,20.0,0.0,40.0,20.0
anger,23,5.0,20.0,85.0,0.0,0.0,70.0,30.0
anger,24,10.0,5.0,10.0,85.0,0.0,75.0,85.0
anger,25,40.0,65.0,45.0,85.0,0.0,45.0,85.0
anger,26,20.0,5.0,20.0,65.0,0.0,40.0,65.0
anger,27,5.0,5.0,10.0,85.0,0.0,65.0,85.0
anger,28,75.0,40.0,20.0,40.0,0.0,75.0,65.0
anger,29,85.0,75.0,65.0,10.0,0.0,75.0,70.0
anger,30,20.0,10.0,20.0,40.0,0.0,90.0,75.0
anger,31,30.0,10.0,10.0,90.0,0.0,65.0,85.0
anger,32,0.0,0.0,10.0,0.0,0.0,40.0,0.0
anger,33,40.0,40.0,40.0,10.0,10.0,65.0,30.0
anger,34,30.0,10.0,40.0,30.0,0.0,85.0,65.0
anger,35,0.0,0.0,0.0,0.0,95.0,0.0,0.0
anger,36,0.0,0.0,10.0,0.0,90.0,0.0,0.0
anger,37,5.0,0.0,0.0,0.0,75.0,10.0,0.0
anger,38,30.0,10.0,60.0,70.0,10.0,75.0,85.0
anger,39,40.0,10.0,40.0,75.0,5.0,75.0,85.0
anger,40,10.0,0.0,30.0,10.0,5.0,85.0,40.0
anger,41,20.0,10.0,75.0,20.0,0.0,95.0,20.0
anger,42,65.0,10.0,20.0,10.0,0.0,85.0,75.0
anger,43,30.0,10.0,70.0,45.0,5.0,85.0,65.0
anger,44,20.0,10.0,20.0,10.0,0.0,85.0,85.0
anger,45,85.0,70.0,75.0,85.0,0.0,85.0,75.0
anger,46,20.0,10.0,85.0,40.0,0.0,95.0,90.0
anger,47,20.0,0.0,70.0,85.0,0.0,85.0,85.0
anger,48,10.0,10.0,40.0,65.0,0.0,65.0,85.0
anger,49,65.0,10.0,85.0,40.0,0.0,75.0,85.0
anger,50,0.0,0.0,10.0,10.0,0.0,40.0,30.0
anger,51,20.0,75.0,20.0,65.0,0.0,75.0,90.0
anger,52,20.0,10.0,65.0,20.0,5.0,75.0,75.0
anger,53,75.0,10.0,40.0,75.0,0.0,75.0,85.0
anger,54,10.0,0.0,20.0,0.0,0.0,40.0,90.0
anger,55,10.0,30.0,40.0,90.0,0.0,75.0,90.0
disgust,0,20.0,20.0,40.0,70.0,0.0,85.0,85.0
disgust,1,75.0,20.0,30.0,0.0,0.0,20.0,10.0
disgust,2,85.0,70.0,75.0,20.0,0.0,85.0,85.0
disgust,3,10.0,0.0,70.0,10.0,70.0,70.0,10.0
disgust,4,10.0,10.0,75.0,40.0,0.0,65.0,85.0
disgust,5,70.0,30.0,85.0,40.0,0.0,85.0,85.0
disgust,6,75.0,85.0,90.0,10.0,0.0,92.0,85.0
disgust,7,65.0,40.0,40.0,65.0,0.0,70.0,75.0
disgust,8,85.0,95.0,95.0,95.0,0.0,95.0,95.0
disgust,9,75.0,85.0,85.0,10.0,0.0,75.0,40.0
disgust,10,70.0,85.0,95.0,20.0,0.0,90.0,85.0
disgust,11,75.0,95.0,90.0,10.0,0.0,85.0,85.0
disgust,12,75.0,75.0,85.0,5.0,0.0,85.0,10.0
disgust,13,75.0,85.0,85.0,85.0,0.0,75.0,75.0
disgust,14,75.0,75.0,85.0,70.0,0.0,75.0,85.0
disgust,15,70.0,95.0,95.0,0.0,0.0,10.0,10.0
disgust,16,85.0,75.0,95.0,20.0,0.0,85.0,30.0
disgust,17,20.0,70.0,95.0,0.0,0.0,40.0,10.0
disgust,18,20.0,10.0,95.0,10.0,0.0,90.0,10.0
disgust,19,40.0,10.0,85.0,10.0,0.0,85.0,75.0
disgust,20,65.0,75.0,85.0,90.0,0.0,85.0,85.0
disgust,21,85.0,70.0,90.0,10.0,0.0,75.0,70.0
disgust,22,10.0,5.0,85.0,10.0,5.0,10.0,10.0
disgust,23,10.0,30.0,95.0,70.0,0.0,75.0,75.0
disgust,24,30.0,40.0,75.0,85.0,0.0,85.0,85.0
disgust,25,10.0,40.0,30.0,85.0,0.0,75.0,85.0
disgust,26,70.0,70.0,75.0,95.0,0.0,85.0,90.0
disgust,27,30.0,75.0,65.0,90.0,0.0,85.0,85.0
disgust,28,75.0,30.0,20.0,85.0,0.0,75.0,85.0
disgust,29,75.0,75.0,85.0,90.0,0.0,85.0,95.0
disgust,30,30.0,75.0,40.0,75.0,0.0,85.0,75.0
disgust,31,40.0,40.0,10.0,95.0,0.0,75.0,85.0
disgust,32,30.0,40.0,85.0,85.0,10.0,85.0,85.0
disgust,33,85.0,75.0,85.0,30.0,0.0,65.0,65.0
disgust,34,75.0,65.0,40.0,85.0,0.0,85.0,85.0
disgust,35,0.0,0.0,10.0,0.0,85.0,5.0,0.0
disgust,36,0.0,0.0,0.0,0.0,95.0,0.0,0.0
disgust,37,0.0,0.0,0.0,0.0,95.0,0.0,0.0
disgust,38,0.0,0.0,10.0,5.0,85.0,10.0,20.0
disgust,39,5.0,0.0,0.0,0.0,85.0,10.0,0.0
disgust,40,20.0,0.0,70.0,10.0,10.0,85.0,10.0
disgust,41,70.0,70.0,85.0,75.0,0.0,92.0,75.0
disgust,42,65.0,20.0,20.0,20.0,0.0,85.0,90.0
disgust,43,10.0,5.0,85.0,20.0,20.0,85.0,20.0
disgust,44,75.0,85.0,85.0,75.0,0.0,92.0,90.0
disgust,45,40.0,85.0,85.0,90.0,0.0,85.0,90.0
disgust,46,85.0,40.0,85.0,85.0,0.0,95.0,95.0
disgust,47,40.0,10.0,85.0,85.0,0.0,95.0,95.0
disgust,48,10.0,10.0,20.0,85.0,0.0,75.0,95.0
disgust,49,70.0,85.0,90.0,95.0,0.0,90.0,95.0
disgust,50,75.0,20.0,75.0,85.0,0.0,85.0,85.0
disgust,51,40.0,30.0,75.0,20.0,0.0,85.0,75.0
disgust,52,20.0,20.0,85.0,40.0,0.0,85.0,85.0
disgust,53,75.0,30.0,40.0,75.0,0.0,75.0,75.0
disgust,54,20.0,10.0,85.0,10.0,0.0,75.0,95.0
disgust,55,10.0,70.0,40.0,95.0,0.0,85.0,95.0
fear,0,20.0,65.0,90.0,20.0,0.0,75.0,20.0
fear,1,40.0,10.0,75.0,45.0,5.0,75.0,65.0
fear,2,40.0,10.0,75.0,75.0,0.0,85.0,85.0
fear,3,40.0,20.0,75.0,40.0,0.0,85.0,75.0
fear,4,10.0,10.0,30.0,40.0,0.0,40.0,85.0
fear,5,30.0,0.0,85.0,10.0,10.0,40.0,10.0
fear,6,40.0,40.0,75.0,5.0,0.0,75.0,10.0
fear,7,30.0,30.0,75.0,85.0,0.0,85.0,85.0
fear,8,20.0,70.0,85.0,75.0,0.0,75.0,75.0
fear,9,45.0,75.0,65.0,65.0,0.0,75.0,45.0
fear,10,40.0,10.0,85.0,20.0,0.0,85.0,70.0
fear,11,10.0,10.0,65.0,30.0,0.0,40.0,85.0
fear,12,65.0,65.0,85.0,20.0,0.0,85.0,75.0
fear,13,10.0,10.0,95.0,0.0,0.0,85.0,10.0
fear,14,40.0,20.0,95.0,45.0,0.0,85.0,75.0
fear,15,20.0,85.0,90.0,0.0,0.0,30.0,20.0
fear,16,10.0,10.0,95.0,75.0,0.0,85.0,70.0
fear,17,10.0,70.0,95.0,0.0,0.0,65.0,10.0
fear,18,10.0,10.0,85.0,0.0,0.0,85.0,40.0
fear,19,0.0,0.0,90.0,0.0,0.0,75.0,20.0
fear,20,70.0,40.0,75.0,85.0,0.0,70.0,85.0
fear,21,75.0,85.0,90.0,10.0,0.0,85.0,70.0
fear,22,10.0,5.0,85.0,10.0,0.0,20.0,30.0
fear,23,10.0,10.0,85.0,5.0,0.0,65.0,10.0
fear,24,10.0,0.0,75.0,75.0,0.0,65.0,65.0
fear,25,40.0,20.0,30.0,20.0,0.0,20.0,75.0
fear,26,10.0,0.0,75.0,75.0,0.0,75.0,75.0
fear,27,10.0,5.0,65.0,75.0,0.0,75.0,65.0
fear,28,10.0,5.0,40.0,75.0,10.0,65.0,65.0
fear,29,20.0,10.0,85.0,60.0,0.0,75.0,85.0
fear,30,5.0,0.0,10.0,85.0,0.0,65.0,85.0
fear,31,30.0,10.0,85.0,85.0,0.0,85.0,85.0
fear,32,0.0,0.0,85.0,10.0,0.0,70.0,40.0
fear,33,20.0,10.0,85.0,65.0,0.0,75.0,75.0
fear,34,5.0,0.0,70.0,10.0,30.0,30.0,10.0
fear,35,0.0,0.0,10.0,5.0,75.0,10.0,10.0
fear,36,10.0,10.0,70.0,30.0,0.0,75.0,75.0
fear,37,10.0,5.0,65.0,10.0,10.0,45.0,10.0
fear,38,10.0,0.0,75.0,65.0,10.0,75.0,75.0
fear,39,20.0,10.0,75.0,65.0,0.0,75.0,85.0
fear,40,30.0,0.0,85.0,20.0,0.0,75.0,40.0
fear,41,10.0,5.0,95.0,85.0,0.0,85.0,75.0
fear,42,65.0,10.0,65.0,40.0,0.0,85.0,85.0
fear,43,10.0,10.0,85.0,40.0,0.0,75.0,10.0
fear,44,10.0,10.0,85.0,45.0,0.0,85.0,65.0
fear,45,70.0,10.0,75.0,10.0,0.0,75.0,10.0
fear,46,20.0,10.0,85.0,85.0,0.0,85.0,85.0
fear,47,20.0,10.0,85.0,75.0,0.0,85.0,85.0
fear,48,5.0,10.0,30.0,20.0,0.0,75.0,90.0
fear,49,40.0,20.0,85.0,75.0,0.0,75.0,85.0
fear,50,30.0,10.0,70.0,10.0,0.0,60.0,40.0
fear,51,10.0,40.0,65.0,75.0,0.0,65.0,85.0
fear,52,40.0,65.0,65.0,40.0,0.0,85.0,85.0
fear,53,20.0,10.0,40.0,45.0,0.0,70.0,75.0
fear,54,10.0,5.0,65.0,10.0,20.0,45.0,65.0
fear,55,40.0,40.0,90.0,70.0,0.0,75.0,85.0
guilt,0,10.0,5.0,75.0,75.0,0.0,65.0,65.0
guilt,1,60.0,5.0,65.0,65.0,5.0,65.0,70.0
guilt,2,40.0,20.0,40.0,70.0,0.0,85.0,75.0
guilt,3,10.0,10.0,30.0,40.0,0.0,85.0,65.0
guilt,4,5.0,5.0,20.0,45.0,10.0,45.0,75.0
guilt,5,10.0,0.0,40.0,85.0,0.0,85.0,75.0
guilt,6,10.0,10.0,30.0,85.0,0.0,85.0,75.0
guilt,7,10.0,10.0,20.0,85.0,0.0,75.0,85.0
guilt,8,10.0,20.0,75.0,90.0,0.0,85.0,85.0
guilt,9,5.0,10.0,0.0,45.0,0.0,30.0,65.0
guilt,10,10.0,20.0,85.0,85.0,0.0,85.0,85.0
guilt,11,10.0,75.0,85.0,75.0,0.0,85.0,75.0
guilt,12,20.0,10.0,75.0,20.0,0.0,65.0,30.0
guilt,13,10.0,10.0,75.0,95.0,0.0,85.0,85.0
guilt,14,0.0,0.0,10.0,0.0,0.0,10.0,10.0
guilt,15,20.0,75.0,85.0,0.0,0.0,10.0,10.0
guilt,16,5.0,10.0,85.0,85.0,0.0,85.0,75.0
guilt,17,10.0,20.0,90.0,0.0,0.0,10.0,10.0
guilt,18,10.0,10.0,85.0,75.0,0.0,85.0,75.0
guilt,19,10.0,0.0,45.0,75.0,0.0,85.0,65.0
guilt,20,10.0,10.0,65.0,85.0,0.0,75.0,85.0
guilt,21,20.0,10.0,85.0,30.0,5.0,75.0,75.0
guilt,22,10.0,5.0,85.0,45.0,0.0,20.0,20.0
guilt,23,10.0,20.0,85.0,10.0,0.0,75.0,30.0
guilt,24,5.0,0.0,10.0,85.0,0.0,75.0,75.0
guilt,25,0.0,10.0,20.0,85.0,0.0,45.0,75.0
guilt,26,10.0,0.0,65.0,70.0,0.0,40.0,65.0
guilt,27,10.0,10.0,10.0,90.0,0.0,85.0,85.0
guilt,28,10.0,10.0,10.0,85.0,0.0,75.0,85.0
guilt,29,20.0,20.0,75.0,20.0,0.0,85.0,85.0
guilt,30,0.0,0.0,20.0,85.0,0.0,75.0,75.0
guilt,31,10.0,10.0,20.0,95.0,0.0,85.0,85.0
guilt,32,5.0,10.0,85.0,20.0,0.0,85.0,10.0
guilt,33,0.0,0.0,10.0,10.0,20.0,40.0,10.0
guilt,34,5.0,10.0,10.0,85.0,10.0,65.0,85.0
guilt,35,0.0,0.0,0.0,0.0,85.0,0.0,0.0
guilt,36,0.0,0.0,10.0,5.0,20.0,30.0,10.0
guilt,37,0.0,0.0,40.0,0.0,20.0,20.0,10.0
guilt,38,5.0,10.0,10.0,85.0,0.0,75.0,85.0
guilt,39,0.0,0.0,0.0,10.0,60.0,40.0,30.0
guilt,40,10.0,10.0,10.0,70.0,20.0,75.0,65.0
guilt,41,10.0,10.0,85.0,10.0,0.0,92.0,65.0
guilt,42,10.0,10.0,65.0,85.0,0.0,85.0,85.0
guilt,43,5.0,0.0,40.0,65.0,0.0,90.0,20.0
guilt,44,10.0,10.0,20.0,70.0,0.0,85.0,70.0
guilt,45,10.0,20.0,85.0,85.0,0.0,85.0,75.0
guilt,46,20.0,5.0,65.0,10.0,0.0,85.0,75.0
guilt,47,10.0,10.0,75.0,85.0,0.0,85.0,85.0
guilt,48,5.0,10.0,30.0,85.0,0.0,75.0,95.0
guilt,49,20.0,10.0,20.0,85.0,0.0,85.0,85.0
guilt,50,0.0,0.0,40.0,10.0,0.0,20.0,10.0
guilt,51,10.0,40.0,40.0,40.0,0.0,65.0,85.0
guilt,52,30.0,10.0,65.0,65.0,5.0,65.0,75.0
guilt,53,5.0,5.0,5.0,65.0,0.0,40.0,70.0
guilt,54,40.0,20.0,85.0,20.0,0.0,85.0,90.0
guilt,55,5.0,10.0,10.0,95.0,0.0,85.0,90.0
joy,0,0.0,0.0,20.0,5.0,85.0,0.0,0.0
joy,1,10.0,5.0,5.0,5.0,70.0,10.0,10.0
joy,2,5.0,0.0,5.0,10.0,70.0,10.0,10.0
joy,3,0.0,0.0,0.0,0.0,90.0,0.0,0.0
joy,4,0.0,0.0,0.0,0.0,85.0,0.0,0.0
joy,5,0.0,0.0,0.0,0.0,95.0,0.0,0.0
joy,6,0.0,0.0,40.0,95.0,0.0,75.0,85.0
joy,7,0.0,0.0,0.0,0.0,75.0,0.0,0.0
joy,8,20.0,10.0,75.0,10.0,0.0,65.0,70.0
joy,9,20.0,5.0,0.0,5.0,40.0,10.0,5.0
joy,10,20.0,10.0,85.0,0.0,10.0,40.0,10.0
joy,11,20.0,70.0,85.0,20.0,5.0,75.0,85.0
joy,12,65.0,20.0,70.0,10.0,0.0,70.0,40.0
joy,13,0.0,0.0,0.0,0.0,75.0,0.0,0.0
joy,14,40.0,30.0,40.0,10.0,5.0,30.0,20.0
joy,15,0.0,0.0,0.0,0.0,70.0,0.0,0.0
joy,16,10.0,0.0,85.0,10.0,40.0,40.0,10.0
joy,17,5.0,10.0,10.0,0.0,70.0,0.0,0.0
joy,18,0.0,0.0,40.0,5.0,20.0,40.0,10.0
joy,19,0.0,0.0,10.0,0.0,40.0,10.0,0.0
joy,20,10.0,10.0,70.0,75.0,0.0,40.0,70.0
joy,21,65.0,10.0,90.0,10.0,0.0,75.0,40.0
joy,22,0.0,0.0,30.0,5.0,40.0,0.0,0.0
joy,23,0.0,0.0,0.0,0.0,85.0,0.0,0.0
joy,24,0.0,0.0,5.0,40.0,40.0,10.0,20.0
joy,25,0.0,0.0,5.0,75.0,40.0,30.0,60.0
joy,26,0.0,0.0,30.0,20.0,40.0,10.0,20.0
joy,27,0.0,0.0,0.0,10.0,60.0,20.0,0.0
joy,28,0.0,0.0,0.0,0.0,75.0,0.0,0.0
joy,29,10.0,10.0,30.0,30.0,0.0,40.0,75.0
joy,30,0.0,0.0,0.0,0.0,75.0,5.0,0.0
joy,31,0.0,5.0,10.0,75.0,30.0,20.0,70.0
joy,32,0.0,0.0,10.0,0.0,85.0,10.0,0.0
joy,33,0.0,0.0,0.0,0.0,90.0,0.0,0.0
joy,34,0.0,0.0,0.0,5.0,85.0,0.0,5.0
joy,35,0.0,0.0,0.0,0.0,90.0,0.0,0.0
joy,36,0.0,0.0,5.0,0.0,85.0,0.0,0.0
joy,37,0.0,0.0,0.0,0.0,90.0,0.0,0.0
joy,38,0.0,0.0,0.0,0.0,95.0,0.0,0.0
joy,39,0.0,0.0,0.0,0.0,90.0,0.0,0.0
joy,40,0.0,0.0,0.0,0.0,85.0,20.0,0.0
joy,41,0.0,0.0,10.0,0.0,70.0,40.0,0.0
joy,42,5.0,0.0,5.0,10.0,30.0,30.0,10.0
joy,43,10.0,5.0,40.0,10.0,10.0,75.0,10.0
joy,44,5.0,0.0,10.0,40.0,0.0,85.0,40.0
joy,45,5.0,10.0,20.0,10.0,60.0,30.0,20.0
joy,46,20.0,10.0,70.0,40.0,0.0,85.0,75.0
joy,47,10.0,5.0,70.0,75.0,0.0,85.0,85.0
joy,48,5.0,5.0,10.0,60.0,40.0,40.0,70.0
joy,49,10.0,10.0,30.0,85.0,10.0,65.0,85.0
joy,50,0.0,0.0,10.0,30.0,20.0,30.0,30.0
joy,51,5.0,70.0,10.0,10.0,10.0,10.0,75.0
joy,52,0.0,0.0,5.0,5.0,60.0,30.0,10.0
joy,53,20.0,5.0,10.0,10.0,10.0,30.0,30.0
joy,54,0.0,5.0,10.0,5.0,60.0,10.0,40.0
joy,55,5.0,10.0,75.0,85.0,10.0,45.0,85.0
sadness,0,40.0,30.0,75.0,85.0,0.0,85.0,85.0
sadness,1,30.0,10.0,65.0,65.0,0.0,75.0,75.0
sadness,2,30.0,20.0,75.0,20.0,0.0,85.0,75.0
sadness,3,20.0,10.0,70.0,75.0,0.0,85.0,85.0
sadness,4,20.0,10.0,65.0,40.0,0.0,75.0,75.0
sadness,5,10.0,0.0,65.0,40.0,0.0,75.0,65.0
sadness,6,70.0,40.0,85.0,20.0,0.0,85.0,70.0
sadness,7,30.0,10.0,65.0,65.0,0.0,65.0,65.0
sadness,8,40.0,10.0,85.0,10.0,0.0,85.0,75.0
sadness,9,20.0,20.0,10.0,0.0,0.0,10.0,10.0
sadness,10,45.0,10.0,85.0,5.0,0.0,75.0,40.0
sadness,11,40.0,75.0,75.0,65.0,0.0,85.0,75.0
sadness,12,10.0,10.0,75.0,40.0,0.0,75.0,45.0
sadness,13,40.0,65.0,75.0,85.0,0.0,85.0,85.0
sadness,14,65.0,30.0,85.0,75.0,0.0,85.0,75.0
sadness,15,10.0,65.0,85.0,10.0,0.0,75.0,30.0
sadness,16,40.0,10.0,95.0,30.0,0.0,85.0,40.0
sadness,17,10.0,10.0,85.0,0.0,0.0,20.0,0.0
sadness,18,10.0,10.0,85.0,10.0,0.0,85.0,40.0
sadness,19,10.0,5.0,85.0,20.0,0.0,90.0,70.0
sadness,20,40.0,10.0,40.0,70.0,0.0,30.0,65.0
sadness,21,65.0,65.0,85.0,40.0,0.0,85.0,75.0
sadness,22,30.0,10.0,75.0,10.0,0.0,65.0,20.0
sadness,23,10.0,20.0,85.0,20.0,0.0,75.0,65.0
sadness,24,10.0,5.0,65.0,85.0,0.0,85.0,75.0
sadness,25,30.0,45.0,65.0,75.0,5.0,75.0,75.0
sadness,26,5.0,10.0,30.0,85.0,0.0,65.0,75.0
sadness,27,10.0,10.0,20.0,95.0,0.0,85.0,85.0
sadness,28,5.0,0.0,10.0,45.0,5.0,45.0,65.0
sadness,29,30.0,40.0,85.0,85.0,0.0,85.0,90.0
sadness,30,5.0,0.0,20.0,45.0,0.0,85.0,30.0
sadness,31,10.0,10.0,20.0,90.0,0.0,65.0,85.0
sadness,32,40.0,75.0,85.0,75.0,0.0,85.0,75.0
sadness,33,20.0,10.0,40.0,65.0,5.0,75.0,65.0
sadness,34,30.0,20.0,30.0,30.0,5.0,85.0,65.0
sadness,35,0.0,5.0,10.0,10.0,20.0,30.0,10.0
sadness,36,5.0,10.0,40.0,20.0,10.0,65.0,30.0
sadness,37,0.0,0.0,0.0,0.0,70.0,10.0,0.0
sadness,38,0.0,0.0,10.0,0.0,85.0,20.0,10.0
sadness,39,5.0,5.0,40.0,10.0,20.0,45.0,65.0
sadness,40,0.0,0.0,10.0,20.0,20.0,85.0,10.0
sadness,41,10.0,10.0,85.0,75.0,0.0,85.0,70.0
sadness,42,20.0,10.0,65.0,75.0,0.0,85.0,85.0
sadness,43,10.0,5.0,75.0,85.0,0.0,95.0,85.0
sadness,44,10.0,0.0,75.0,20.0,0.0,85.0,65.0
sadness,45,20.0,40.0,75.0,85.0,0.0,85.0,85.0
sadness,46,20.0,30.0,85.0,90.0,0.0,85.0,95.0
sadness,47,30.0,10.0,75.0,75.0,0.0,85.0,85.0
sadness,48,5.0,10.0,75.0,90.0,0.0,85.0,95.0
sadness,49,30.0,10.0,75.0,85.0,0.0,85.0,85.0
sadness,50,10.0,0.0,65.0,20.0,0.0,75.0,30.0
sadness,51,10.0,75.0,30.0,75.0,0.0,65.0,85.0
sadness,52,10.0,5.0,75.0,40.0,0.0,75.0,75.0
sadness,53,10.0,5.0,40.0,40.0,0.0,75.0,65.0
sadness,54,10.0,10.0,75.0,20.0,0.0,75.0,75.0
sadness,55,0.0,0.0,65.0,90.0,5.0,65.0,85.0
shame,0,40.0,10.0,40.0,85.0,0.0,70.0,85.0
shame,1,20.0,20.0,75.0,65.0,0.0,75.0,85.0
shame,2,75.0,75.0,85.0,70.0,0.0,85.0,85.0
shame,3,20.0,10.0,40.0,85.0,0.0,85.0,85.0
shame,4,10.0,10.0,65.0,30.0,0.0,75.0,85.0
shame,5,20.0,20.0,65.0,65.0,0.0,65.0,85.0
shame,6,20.0,10.0,65.0,85.0,0.0,85.0,85.0
shame,7,40.0,10.0,65.0,65.0,0.0,75.0,75.0
shame,8,30.0,70.0,85.0,85.0,0.0,85.0,85.0
shame,9,10.0,10.0,65.0,65.0,0.0,65.0,85.0
shame,10,10.0,20.0,75.0,40.0,0.0,85.0,75.0
shame,11,10.0,20.0,75.0,85.0,0.0,75.0,85.0
shame,12,30.0,10.0,75.0,5.0,0.0,75.0,20.0
shame,13,40.0,75.0,85.0,85.0,0.0,85.0,95.0
shame,14,20.0,20.0,65.0,45.0,0.0,75.0,85.0
shame,15,40.0,85.0,85.0,0.0,0.0,40.0,10.0
shame,16,65.0,10.0,85.0,75.0,0.0,75.0,45.0
shame,17,10.0,70.0,95.0,0.0,0.0,40.0,10.0
shame,18,20.0,10.0,85.0,10.0,0.0,85.0,65.0
shame,19,40.0,10.0,70.0,0.0,0.0,75.0,20.0
shame,20,10.0,20.0,65.0,85.0,0.0,75.0,85.0
shame,21,75.0,75.0,85.0,70.0,0.0,85.0,85.0
shame,22,30.0,30.0,85.0,85.0,0.0,75.0,85.0
