steer,prompt_id,anger,disgust,fear,guilt,joy,sadness,shame
baseline,53,0.0,0.0,45.0,45.0,0.0,15.0,45.0
baseline,54,0.0,0.0,5.0,15.0,65.0,0.0,35.0
baseline,55,0.0,0.0,0.0,85.0,0.0,25.0,85.0
anger,0,85.0,0.0,45.0,0.0,0.0,45.0,10.0
anger,1,78.0,55.0,15.0,0.0,0.0,65.0,15.0
anger,2,75.0,45.0,15.0,0.0,0.0,65.0,15.0
anger,3,72.0,10.0,65.0,75.0,0.0,75.0,85.0
anger,4,35.0,5.0,35.0,0.0,0.0,75.0,75.0
anger,5,65.0,0.0,75.0,30.0,0.0,75.0,75.0
anger,6,85.0,15.0,15.0,0.0,0.0,85.0,15.0
anger,7,75.0,5.0,25.0,85.0,0.0,65.0,85.0
anger,8,15.0,5.0,75.0,85.0,0.0,100.0,45.0
anger,9,78.0,15.0,15.0,0.0,0.0,45.0,15.0
anger,10,85.0,5.0,75.0,0.0,0.0,85.0,5.0
anger,11,70.0,45.0,75.0,15.0,0.0,35.0,25.0
anger,12,85.0,65.0,35.0,15.0,0.0,45.0,0.0
anger,13,85.0,25.0,55.0,15.0,0.0,75.0,85.0
anger,14,75.0,10.0,75.0,0.0,0.0,45.0,15.0
anger,15,15.0,35.0,95.0,0.0,0.0,15.0,0.0
anger,16,78.0,10.0,65.0,0.0,0.0,75.0,75.0
anger,17,10.0,0.0,100.0,20.0,0.0,75.0,15.0
anger,18,65.0,0.0,95.0,0.0,0.0,85.0,0.0
anger,19,55.0,0.0,75.0,0.0,0.0,75.0,15.0
anger,20,78.0,5.0,75.0,0.0,0.0,75.0,15.0
anger,21,15.0,0.0,90.0,75.0,0.0,75.0,85.0
anger,22,75.0,0.0,75.0,0.0,0.0,75.0,0.0
anger,23,85.0,10.0,20.0,0.0,0.0,85.0,65.0
anger,24,65.0,15.0,15.0,0.0,0.0,85.0,15.0
anger,25,35.0,35.0,15.0,15.0,0.0,75.0,75.0
anger,26,65.0,5.0,45.0,15.0,0.0,75.0,65.0
anger,27,15.0,0.0,35.0,95.0,0.0,88.0,85.0
anger,28,75.0,15.0,15.0,35.0,0.0,75.0,15.0
anger,29,75.0,15.0,15.0,5.0,0.0,75.0,5.0
anger,30,75.0,15.0,15.0,0.0,0.0,75.0,0.0
anger,31,65.0,5.0,15.0,65.0,0.0,75.0,65.0
anger,32,75.0,15.0,45.0,10.0,0.0,85.0,15.0
anger,33,75.0,15.0,25.0,10.0,0.0,75.0,75.0
anger,34,65.0,15.0,5.0,15.0,0.0,85.0,75.0
anger,35,25.0,0.0,0.0,15.0,0.0,90.0,95.0
anger,36,65.0,0.0,35.0,85.0,0.0,85.0,85.0
anger,37,45.0,0.0,95.0,15.0,0.0,85.0,85.0
anger,38,72.0,0.0,15.0,0.0,0.0,65.0,15.0
anger,39,75.0,0.0,15.0,0.0,0.0,85.0,15.0
anger,40,75.0,0.0,45.0,0.0,0.0,85.0,15.0
anger,41,75.0,10.0,65.0,0.0,0.0,85.0,15.0
anger,42,85.0,0.0,15.0,5.0,0.0,75.0,90.0
anger,43,15.0,0.0,75.0,0.0,0.0,95.0,0.0
anger,44,65.0,15.0,75.0,0.0,0.0,75.0,15.0
anger,45,78.0,15.0,65.0,0.0,0.0,65.0,0.0
anger,46,75.0,15.0,35.0,85.0,0.0,85.0,100.0
anger,47,15.0,15.0,15.0,85.0,0.0,98.0,100.0
anger,48,65.0,10.0,15.0,65.0,0.0,85.0,75.0
anger,49,65.0,0.0,15.0,0.0,0.0,75.0,5.0
anger,50,45.0,0.0,85.0,10.0,0.0,95.0,65.0
anger,51,75.0,75.0,15.0,95.0,0.0,85.0,85.0
anger,52,85.0,0.0,35.0,0.0,0.0,75.0,15.0
anger,53,65.0,0.0,5.0,15.0,0.0,35.0,65.0
anger,54,15.0,45.0,75.0,0.0,0.0,85.0,95.0
anger,55,15.0,15.0,35.0,100.0,0.0,85.0,95.0
disgust,0,100.0,85.0,85.0,85.0,0.0,65.0,95.0
disgust,1,75.0,95.0,95.0,85.0,0.0,95.0,75.0
disgust,2,65.0,85.0,100.0,95.0,0.0,95.0,85.0
disgust,3,5.0,15.0,15.0,95.0,0.0,98.0,100.0
disgust,4,75.0,0.0,0.0,95.0,0.0,85.0,85.0
disgust,5,10.0,0.0,100.0,0.0,0.0,85.0,0.0
disgust,6,75.0,30.0,85.0,75.0,0.0,85.0,65.0
disgust,7,15.0,75.0,85.0,85.0,0.0,100.0,95.0
disgust,8,100.0,85.0,85.0,0.0,0.0,85.0,85.0
disgust,9,95.0,65.0,90.0,100.0,0.0,40.0,85.0
disgust,10,75.0,85.0,75.0,95.0,0.0,98.0,95.0
disgust,11,90.0,35.0,95.0,0.0,0.0,85.0,95.0
disgust,12,75.0,75.0,100.0,25.0,0.0,75.0,0.0
disgust,13,35.0,75.0,85.0,100.0,0.0,98.0,95.0
disgust,14,85.0,85.0,95.0,100.0,0.0,90.0,85.0
disgust,15,40.0,0.0,100.0,0.0,0.0,75.0,25.0
disgust,16,100.0,75.0,85.0,100.0,0.0,85.0,100.0
disgust,17,85.0,25.0,75.0,0.0,50.0,85.0,15.0
disgust,18,100.0,0.0,85.0,0.0,0.0,95.0,10.0
disgust,19,85.0,85.0,95.0,25.0,0.0,90.0,85.0
disgust,20,85.0,85.0,85.0,100.0,0.0,95.0,100.0
disgust,21,75.0,90.0,95.0,100.0,0.0,95.0,95.0
disgust,22,85.0,85.0,95.0,100.0,0.0,95.0,100.0
disgust,23,85.0,65.0,95.0,15.0,0.0,75.0,0.0
disgust,24,95.0,85.0,75.0,0.0,0.0,95.0,0.0
disgust,25,65.0,40.0,100.0,10.0,0.0,85.0,85.0
disgust,26,0.0,15.0,75.0,100.0,0.0,90.0,100.0
disgust,27,100.0,85.0,75.0,85.0,0.0,75.0,95.0
disgust,28,95.0,85.0,100.0,40.0,0.0,95.0,85.0
disgust,29,85.0,45.0,15.0,85.0,0.0,98.0,85.0
disgust,30,75.0,90.0,98.0,15.0,0.0,95.0,85.0
disgust,31,75.0,85.0,95.0,100.0,0.0,85.0,100.0
disgust,32,85.0,85.0,85.0,15.0,0.0,90.0,15.0
disgust,33,75.0,65.0,95.0,90.0,0.0,75.0,90.0
disgust,34,65.0,85.0,95.0,15.0,0.0,75.0,45.0
disgust,35,90.0,85.0,35.0,0.0,0.0,95.0,0.0
disgust,36,15.0,0.0,0.0,0.0,0.0,85.0,10.0
disgust,37,100.0,35.0,65.0,75.0,0.0,95.0,85.0
disgust,38,90.0,85.0,15.0,0.0,0.0,90.0,0.0
disgust,39,85.0,0.0,35.0,0.0,0.0,85.0,5.0
disgust,40,90.0,0.0,85.0,0.0,0.0,100.0,15.0
disgust,41,100.0,75.0,85.0,0.0,0.0,85.0,5.0
disgust,42,85.0,85.0,0.0,0.0,0.0,45.0,15.0
disgust,43,85.0,55.0,75.0,85.0,0.0,100.0,75.0
disgust,44,95.0,0.0,85.0,0.0,15.0,75.0,0.0
disgust,45,85.0,75.0,100.0,0.0,0.0,95.0,0.0
disgust,46,95.0,75.0,75.0,35.0,0.0,85.0,95.0
disgust,47,75.0,95.0,85.0,100.0,0.0,98.0,100.0
disgust,48,90.0,15.0,75.0,15.0,0.0,85.0,100.0
disgust,49,75.0,100.0,100.0,95.0,0.0,85.0,50.0
disgust,50,75.0,35.0,85.0,85.0,15.0,85.0,90.0
disgust,51,75.0,75.0,85.0,15.0,0.0,100.0,15.0
disgust,52,95.0,95.0,95.0,75.0,0.0,95.0,100.0
disgust,53,90.0,85.0,95.0,100.0,0.0,90.0,100.0
disgust,54,15.0,90.0,85.0,95.0,0.0,95.0,100.0
disgust,55,95.0,85.0,85.0,0.0,0.0,100.0,0.0
fear,0,0.0,0.0,100.0,0.0,0.0,75.0,10.0
fear,1,45.0,0.0,100.0,50.0,0.0,100.0,40.0
fear,2,65.0,0.0,100.0,15.0,0.0,85.0,15.0
fear,3,75.0,15.0,85.0,75.0,0.0,85.0,35.0
fear,4,15.0,10.0,100.0,10.0,0.0,30.0,15.0
fear,5,45.0,0.0,98.0,0.0,0.0,20.0,0.0
fear,6,75.0,5.0,100.0,0.0,0.0,95.0,15.0
fear,7,5.0,0.0,95.0,0.0,0.0,75.0,0.0
fear,8,15.0,0.0,100.0,25.0,0.0,85.0,0.0
fear,9,0.0,0.0,100.0,0.0,0.0,15.0,0.0
fear,10,15.0,0.0,100.0,0.0,0.0,85.0,15.0
fear,11,0.0,0.0,100.0,0.0,0.0,15.0,0.0
fear,12,0.0,0.0,95.0,0.0,0.0,25.0,0.0
fear,13,15.0,0.0,95.0,0.0,0.0,95.0,85.0
fear,14,5.0,0.0,95.0,0.0,0.0,25.0,5.0
fear,15,15.0,0.0,100.0,0.0,0.0,15.0,0.0
fear,16,15.0,0.0,100.0,15.0,0.0,95.0,15.0
fear,17,0.0,0.0,100.0,0.0,0.0,65.0,0.0
fear,18,5.0,0.0,100.0,0.0,0.0,75.0,5.0
fear,19,15.0,0.0,98.0,0.0,0.0,85.0,0.0
fear,20,85.0,0.0,100.0,0.0,0.0,85.0,0.0
fear,21,10.0,0.0,100.0,35.0,0.0,85.0,85.0
fear,22,5.0,0.0,100.0,0.0,0.0,10.0,0.0
fear,23,10.0,0.0,100.0,0.0,0.0,95.0,15.0
fear,24,35.0,0.0,98.0,95.0,0.0,95.0,0.0
fear,25,15.0,0.0,100.0,0.0,0.0,95.0,15.0
fear,26,10.0,0.0,100.0,15.0,0.0,85.0,15.0
fear,27,15.0,15.0,98.0,0.0,0.0,75.0,10.0
fear,28,0.0,0.0,100.0,0.0,0.0,65.0,0.0
fear,29,25.0,15.0,100.0,0.0,0.0,95.0,15.0
fear,30,15.0,0.0,100.0,0.0,0.0,85.0,0.0
fear,31,75.0,0.0,85.0,95.0,0.0,95.0,75.0
fear,32,15.0,0.0,95.0,15.0,0.0,92.0,0.0
fear,33,15.0,25.0,95.0,0.0,0.0,92.0,15.0
fear,34,25.0,10.0,95.0,0.0,0.0,95.0,15.0
fear,35,0.0,0.0,100.0,0.0,0.0,85.0,0.0
fear,36,0.0,0.0,95.0,0.0,0.0,85.0,10.0
fear,37,35.0,0.0,95.0,5.0,0.0,95.0,85.0
fear,38,15.0,15.0,95.0,0.0,0.0,85.0,85.0
fear,39,15.0,0.0,100.0,0.0,0.0,98.0,15.0
fear,40,15.0,0.0,100.0,0.0,0.0,85.0,0.0
fear,41,15.0,0.0,95.0,0.0,0.0,100.0,0.0
fear,42,15.0,0.0,95.0,15.0,0.0,95.0,75.0
fear,43,15.0,0.0,95.0,0.0,0.0,85.0,0.0
fear,44,0.0,0.0,90.0,0.0,0.0,85.0,0.0
fear,45,15.0,50.0,100.0,65.0,0.0,85.0,85.0
fear,46,15.0,0.0,100.0,0.0,0.0,95.0,0.0
fear,47,10.0,0.0,100.0,0.0,0.0,95.0,15.0
fear,48,15.0,0.0,100.0,0.0,0.0,85.0,15.0
fear,49,75.0,15.0,75.0,75.0,0.0,85.0,85.0
fear,50,0.0,0.0,100.0,0.0,0.0,85.0,0.0
fear,51,0.0,0.0,98.0,0.0,0.0,85.0,0.0
fear,52,75.0,45.0,100.0,0.0,0.0,95.0,0.0
fear,53,15.0,0.0,95.0,0.0,0.0,75.0,0.0
fear,54,15.0,0.0,100.0,0.0,0.0,85.0,0.0
fear,55,0.0,0.0,100.0,0.0,0.0,15.0,0.0
guilt,0,15.0,0.0,65.0,92.0,0.0,88.0,92.0
guilt,1,10.0,0.0,15.0,95.0,0.0,95.0,92.0
guilt,2,35.0,15.0,65.0,85.0,0.0,92.0,90.0
guilt,3,15.0,0.0,15.0,95.0,0.0,92.0,95.0
guilt,4,10.0,0.0,85.0,95.0,0.0,95.0,95.0
guilt,5,5.0,0.0,15.0,95.0,0.0,92.0,85.0
guilt,6,5.0,15.0,15.0,95.0,0.0,85.0,90.0
guilt,7,35.0,5.0,15.0,95.0,0.0,88.0,85.0
guilt,8,15.0,0.0,15.0,95.0,0.0,90.0,90.0
guilt,9,65.0,0.0,15.0,40.0,0.0,90.0,45.0
guilt,10,15.0,15.0,15.0,98.0,0.0,95.0,98.0
guilt,11,15.0,0.0,85.0,95.0,0.0,95.0,95.0
guilt,12,0.0,0.0,0.0,100.0,0.0,88.0,95.0
guilt,13,5.0,0.0,75.0,85.0,0.0,88.0,85.0
guilt,14,5.0,0.0,15.0,98.0,0.0,90.0,95.0
guilt,15,0.0,35.0,75.0,100.0,0.0,95.0,95.0
guilt,16,15.0,0.0,85.0,98.0,0.0,92.0,95.0
guilt,17,0.0,0.0,95.0,95.0,0.0,90.0,92.0
guilt,18,10.0,15.0,85.0,100.0,0.0,95.0,100.0
guilt,19,10.0,0.0,85.0,95.0,0.0,92.0,95.0
guilt,20,0.0,0.0,35.0,98.0,0.0,92.0,95.0
guilt,21,15.0,0.0,95.0,90.0,0.0,85.0,90.0
guilt,22,0.0,0.0,65.0,100.0,0.0,92.0,85.0
guilt,23,15.0,0.0,15.0,95.0,0.0,90.0,90.0
guilt,24,0.0,0.0,85.0,100.0,0.0,95.0,95.0
guilt,25,0.0,0.0,15.0,95.0,0.0,95.0,85.0
guilt,26,0.0,0.0,0.0,95.0,0.0,85.0,85.0
guilt,27,10.0,0.0,75.0,95.0,0.0,85.0,88.0
guilt,28,15.0,0.0,15.0,95.0,0.0,88.0,95.0
guilt,29,15.0,0.0,10.0,88.0,0.0,85.0,85.0
guilt,30,10.0,0.0,0.0,95.0,0.0,88.0,85.0
guilt,31,0.0,0.0,0.0,98.0,0.0,88.0,95.0
guilt,32,15.0,0.0,75.0,100.0,0.0,100.0,92.0
guilt,33,15.0,15.0,75.0,95.0,0.0,95.0,92.0
guilt,34,0.0,0.0,15.0,95.0,0.0,85.0,90.0
guilt,35,15.0,0.0,15.0,100.0,0.0,95.0,95.0
guilt,36,45.0,0.0,65.0,85.0,0.0,90.0,85.0
guilt,37,0.0,15.0,0.0,100.0,0.0,90.0,98.0
guilt,38,15.0,0.0,25.0,95.0,0.0,88.0,85.0
guilt,39,15.0,5.0,35.0,95.0,0.0,95.0,95.0
guilt,40,15.0,5.0,75.0,98.0,0.0,98.0,95.0
guilt,41,15.0,0.0,15.0,95.0,0.0,95.0,95.0
guilt,42,45.0,15.0,15.0,85.0,0.0,92.0,85.0
guilt,43,15.0,0.0,15.0,95.0,0.0,95.0,95.0
guilt,44,0.0,0.0,0.0,95.0,0.0,85.0,95.0
guilt,45,15.0,0.0,15.0,35.0,0.0,92.0,45.0
guilt,46,0.0,0.0,25.0,98.0,0.0,85.0,95.0
guilt,47,10.0,0.0,15.0,95.0,0.0,85.0,95.0
guilt,48,15.0,35.0,65.0,95.0,0.0,85.0,95.0
guilt,49,0.0,10.0,15.0,100.0,0.0,85.0,95.0
guilt,50,15.0,0.0,75.0,95.0,0.0,90.0,95.0
guilt,51,0.0,15.0,15.0,100.0,0.0,88.0,95.0
guilt,52,0.0,0.0,15.0,95.0,0.0,85.0,85.0
guilt,53,10.0,0.0,15.0,95.0,0.0,88.0,95.0
guilt,54,35.0,0.0,75.0,15.0,0.0,85.0,15.0
guilt,55,0.0,0.0,15.0,98.0,0.0,90.0,95.0
joy,0,0.0,0.0,0.0,0.0,88.0,0.0,0.0
joy,1,0.0,0.0,0.0,0.0,95.0,0.0,0.0
joy,2,0.0,0.0,0.0,0.0,90.0,0.0,0.0
joy,3,0.0,0.0,0.0,0.0,95.0,0.0,0.0
joy,4,0.0,0.0,0.0,0.0,90.0,0.0,0.0
joy,5,0.0,0.0,0.0,0.0,95.0,0.0,0.0
joy,6,0.0,0.0,0.0,0.0,90.0,0.0,0.0
joy,7,0.0,0.0,0.0,0.0,85.0,0.0,0.0
joy,8,0.0,0.0,0.0,0.0,90.0,0.0,0.0
joy,9,0.0,0.0,0.0,0.0,82.0,0.0,0.0
joy,10,0.0,0.0,0.0,0.0,85.0,0.0,0.0
joy,11,0.0,0.0,0.0,0.0,85.0,0.0,0.0
joy,12,0.0,0.0,0.0,0.0,85.0,0.0,0.0
joy,13,0.0,0.0,0.0,0.0,90.0,0.0,0.0
joy,14,0.0,0.0,0.0,0.0,78.0,0.0,0.0
joy,15,0.0,0.0,0.0,0.0,85.0,0.0,0.0
joy,16,0.0,0.0,0.0,0.0,92.0,0.0,0.0
joy,17,0.0,0.0,0.0,0.0,85.0,0.0,0.0
joy,18,0.0,0.0,0.0,0.0,95.0,0.0,0.0
joy,19,0.0,0.0,0.0,0.0,90.0,0.0,0.0
joy,20,0.0,0.0,0.0,0.0,90.0,0.0,0.0
joy,21,0.0,0.0,0.0,0.0,90.0,0.0,0.0
joy,22,0.0,0.0,0.0,0.0,85.0,0.0,0.0
joy,23,0.0,0.0,0.0,0.0,95.0,0.0,0.0
joy,24,0.0,0.0,0.0,0.0,85.0,0.0,0.0
joy,25,0.0,0.0,0.0,0.0,15.0,0.0,0.0
joy,26,0.0,0.0,0.0,0.0,88.0,0.0,0.0
joy,27,0.0,0.0,0.0,0.0,85.0,0.0,0.0
joy,28,0.0,0.0,0.0,0.0,90.0,0.0,0.0
joy,29,0.0,0.0,0.0,0.0,95.0,0.0,0.0
joy,30,0.0,0.0,0.0,0.0,75.0,35.0,0.0
joy,31,0.0,0.0,0.0,0.0,85.0,0.0,0.0
joy,32,0.0,0.0,0.0,0.0,88.0,0.0,0.0
joy,33,0.0,0.0,0.0,0.0,95.0,0.0,0.0
joy,34,0.0,0.0,0.0,0.0,90.0,0.0,0.0
joy,35,0.0,0.0,0.0,0.0,90.0,0.0,0.0
joy,36,0.0,0.0,0.0,0.0,95.0,0.0,0.0
joy,37,0.0,0.0,0.0,0.0,95.0,0.0,0.0
joy,38,0.0,0.0,0.0,0.0,85.0,0.0,0.0
joy,39,0.0,0.0,0.0,0.0,90.0,0.0,0.0
joy,40,0.0,0.0,0.0,0.0,88.0,0.0,0.0
joy,41,0.0,0.0,0.0,0.0,95.0,0.0,0.0
joy,42,0.0,0.0,0.0,0.0,95.0,0.0,0.0
joy,43,0.0,0.0,35.0,0.0,45.0,55.0,0.0
joy,44,0.0,0.0,0.0,0.0,85.0,0.0,0.0
joy,45,0.0,0.0,0.0,0.0,85.0,0.0,0.0
joy,46,0.0,0.0,0.0,0.0,95.0,0.0,0.0
joy,47,0.0,0.0,0.0,0.0,92.0,0.0,0.0
joy,48,0.0,0.0,0.0,0.0,85.0,0.0,0.0
joy,49,0.0,0.0,0.0,0.0,85.0,0.0,0.0
joy,50,0.0,0.0,0.0,0.0,85.0,0.0,0.0
joy,51,15.0,5.0,0.0,0.0,0.0,5.0,75.0
joy,52,0.0,0.0,0.0,0.0,90.0,0.0,0.0
joy,53,0.0,0.0,0.0,0.0,85.0,0.0,0.0
joy,54,0.0,0.0,0.0,0.0,95.0,0.0,0.0
joy,55,0.0,0.0,0.0,0.0,90.0,0.0,0.0
sadness,0,0.0,0.0,15.0,75.0,0.0,95.0,85.0
sadness,1,15.0,15.0,15.0,95.0,0.0,95.0,90.0
sadness,2,25.0,15.0,15.0,15.0,0.0,90.0,15.0
sadness,3,15.0,0.0,15.0,0.0,0.0,92.0,15.0
sadness,4,35.0,0.0,15.0,0.0,0.0,92.0,35.0
sadness,5,5.0,0.0,25.0,0.0,0.0,98.0,15.0
sadness,6,0.0,45.0,0.0,95.0,0.0,85.0,92.0
sadness,7,25.0,0.0,15.0,75.0,0.0,90.0,75.0
sadness,8,10.0,0.0,5.0,0.0,0.0,98.0,0.0
sadness,9,0.0,0.0,0.0,100.0,0.0,95.0,0.0
sadness,10,35.0,0.0,35.0,0.0,0.0,95.0,0.0
sadness,11,0.0,0.0,15.0,15.0,0.0,95.0,15.0
sadness,12,15.0,0.0,35.0,0.0,0.0,98.0,0.0
sadness,13,85.0,75.0,15.0,0.0,0.0,95.0,0.0
sadness,14,25.0,12.0,65.0,65.0,0.0,85.0,15.0
sadness,15,65.0,75.0,65.0,0.0,0.0,15.0,15.0
sadness,16,75.0,15.0,25.0,15.0,0.0,95.0,15.0
sadness,17,15.0,0.0,85.0,0.0,0.0,85.0,35.0
sadness,18,25.0,0.0,85.0,0.0,0.0,95.0,15.0
sadness,19,5.0,0.0,10.0,0.0,0.0,98.0,10.0
sadness,20,0.0,0.0,15.0,85.0,0.0,95.0,95.0
sadness,21,75.0,0.0,15.0,0.0,0.0,85.0,0.0
sadness,22,45.0,0.0,85.0,0.0,0.0,85.0,15.0
sadness,23,35.0,0.0,15.0,5.0,0.0,95.0,15.0
sadness,24,0.0,0.0,15.0,95.0,0.0,100.0,88.0
sadness,25,0.0,0.0,0.0,75.0,0.0,95.0,55.0
sadness,26,0.0,0.0,5.0,95.0,0.0,98.0,85.0
sadness,27,15.0,0.0,10.0,75.0,0.0,98.0,45.0
sadness,28,35.0,15.0,10.0,0.0,0.0,95.0,15.0
sadness,29,35.0,0.0,5.0,0.0,0.0,100.0,15.0
sadness,30,15.0,0.0,15.0,75.0,0.0,90.0,25.0
sadness,31,5.0,0.0,0.0,98.0,0.0,95.0,95.0
sadness,32,25.0,0.0,15.0,98.0,0.0,100.0,95.0
sadness,33,10.0,0.0,25.0,85.0,0.0,98.0,85.0
sadness,34,75.0,0.0,15.0,85.0,0.0,100.0,85.0
sadness,35,45.0,0.0,85.0,0.0,0.0,92.0,0.0
sadness,36,15.0,0.0,15.0,0.0,0.0,100.0,75.0
sadness,37,15.0,0.0,15.0,0.0,0.0,98.0,15.0
sadness,38,0.0,0.0,10.0,75.0,0.0,95.0,35.0
sadness,39,0.0,0.0,0.0,5.0,0.0,90.0,85.0
sadness,40,15.0,0.0,15.0,75.0,0.0,95.0,85.0
sadness,41,5.0,0.0,10.0,95.0,0.0,98.0,90.0
sadness,42,0.0,0.0,5.0,0.0,0.0,95.0,15.0
sadness,43,0.0,0.0,10.0,0.0,0.0,98.0,0.0
sadness,44,5.0,0.0,15.0,15.0,0.0,98.0,15.0
sadness,45,65.0,0.0,15.0,0.0,0.0,98.0,5.0
sadness,46,10.0,0.0,15.0,15.0,0.0,100.0,15.0
sadness,47,15.0,0.0,15.0,15.0,0.0,100.0,75.0
sadness,48,0.0,5.0,5.0,95.0,0.0,98.0,85.0
sadness,49,45.0,15.0,15.0,15.0,0.0,88.0,25.0
sadness,50,0.0,0.0,40.0,0.0,0.0,95.0,0.0
sadness,51,5.0,0.0,15.0,0.0,0.0,100.0,15.0
sadness,52,25.0,0.0,15.0,15.0,0.0,95.0,75.0
sadness,53,15.0,0.0,65.0,85.0,0.0,88.0,75.0
sadness,54,15.0,0.0,95.0,75.0,0.0,95.0,85.0
sadness,55,0.0,15.0,5.0,95.0,0.0,85.0,90.0
shame,0,75.0,85.0,65.0,100.0,0.0,95.0,100.0
shame,1,10.0,15.0,65.0,15.0,0.0,85.0,95.0
shame,2,15.0,90.0,15.0,95.0,0.0,85.0,100.0
shame,3,0.0,75.0,90.0,95.0,0.0,95.0,100.0
shame,4,65.0,75.0,65.0,45.0,0.0,88.0,95.0
shame,5,15.0,85.0,75.0,95.0,0.0,98.0,100.0
shame,6,0.0,0.0,95.0,85.0,0.0,78.0,95.0
shame,7,25.0,65.0,85.0,100.0,0.0,92.0,100.0
shame,8,0.0,85.0,95.0,95.0,0.0,100.0,100.0
shame,9,5.0,0.0,15.0,85.0,0.0,85.0,100.0
shame,10,0.0,85.0,98.0,100.0,0.0,98.0,100.0
shame,11,0.0,0.0,75.0,15.0,0.0,85.0,100.0
shame,12,65.0,15.0,85.0,75.0,0.0,85.0,85.0
shame,13,15.0,85.0,75.0,95.0,0.0,95.0,100.0
shame,14,10.0,75.0,85.0,35.0,0.0,85.0,100.0
shame,15,75.0,65.0,85.0,25.0,0.0,85.0,100.0
shame,16,0.0,85.0,35.0,45.0,0.0,95.0,100.0
shame,17,5.0,35.0,95.0,85.0,0.0,95.0,100.0
shame,18,0.0,85.0,95.0,95.0,0.0,98.0,100.0
shame,19,15.0,45.0,65.0,25.0,0.0,92.0,100.0
shame,20,0.0,85.0,75.0,95.0,0.0,95.0,100.0
shame,21,5.0,65.0,85.0,85.0,0.0,95.0,100.0
shame,22,15.0,0.0,95.0,95.0,0.0,95.0,95.0
